Full_Name,Position,Number,Height,Weight,Age,Current_Team,League,Junior_High_School,Rugby_School,Grade,Tournament_Name,Scraped_Url,Last_Updated
田代大介,FW,1,180,109,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
西野帆平,,2,176,104,22,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
富田陸,,3,182,125,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
亀井秋穂,,4,191,90,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
菊池優希,,5,186,107,22,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
最上太尊,,6,183,105,22,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
大川虎拓郎,,7,186,104,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
利川桐生,,8,181,104,22,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
柴田竜成,HB,9,174,81,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
伊藤龍之介,,10,170,79,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
阿部煌生,TB,11,179,85,19,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
平翔太,,12,175,94,22,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
東海隼,,13,181,84,22,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
白井瑛人,,14,178,85,20,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
古賀龍人,FB,15,184,86,19,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
高比良恭介,,16,176,103,20,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
伊藤潤乃助,,17,175,109,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
山口匠,,18,180,120,20,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
物部耀大朗,,19,192,118,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
楠田知己,,20,184,104,22,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
萩井耀司,,21,173,81,20,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
竹之下仁吾,,22,180,86,21,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
藤井達哉,,23,179,99,20,明治大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
杉本安伊朗,FW,1,176,105,22,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
清水健伸,,2,178,96,21,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
前田麟太朗,,3,177,110,20,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
小林光晴,,4,188,99,20,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
栗田文介,,5,184,102,22,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
城央祐,,6,185,99,20,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
田中勇成,,7,166,87,22,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
松沼寛治,,8,177,93,21,早稲田大学,University,,,,第62回全国大学ラグビーフットボール選手権大会 決勝,https://www.rugby-japan.jp/match/29527,2026-03-27
